epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,4012.21,0.73396,0.43362,0.90347,0.92018,0.82767,0.90482,0.68218,0.73025,0.40648,0.9202,0.00065707,0.00065707,0.00065707
18,4263.09,0.73251,0.43076,0.90267,0.87623,0.85281,0.89879,0.66659,0.72988,0.40958,0.91883,0.000646075,0.000646075,0.000646075
19,4513.82,0.73068,0.42876,0.90138,0.89429,0.84249,0.90423,0.68117,0.72486,0.40694,0.91643,0.000635079,0.000635079,0.000635079
20,4764.54,0.71557,0.42072,0.89755,0.9102,0.84098,0.9093,0.68046,0.72549,0.41069,0.91839,0.000624084,0.000624084,0.000624084
21,5015.24,0.71007,0.4176,0.89474,0.88895,0.84202,0.90276,0.67399,0.71931,0.40578,0.91683,0.000613088,0.000613088,0.000613088
22,5265.83,0.70499,0.41426,0.8932,0.89303,0.83387,0.90594,0.6824,0.71341,0.39334,0.91381,0.000602092,0.000602092,0.000602092
23,5516.71,0.69429,0.40431,0.88746,0.88524,0.85517,0.91143,0.68686,0.71202,0.39524,0.91341,0.000591097,0.000591097,0.000591097
24,5767.59,0.6972,0.40546,0.89131,0.88558,0.86616,0.91073,0.69415,0.71178,0.39266,0.91153,0.000580101,0.000580101,0.000580101
25,6018.5,0.68486,0.40105,0.88681,0.91021,0.85397,0.91367,0.7012,0.69904,0.38754,0.90943,0.000569106,0.000569106,0.000569106
26,6269.29,0.67969,0.39518,0.88559,0.89039,0.8681,0.91017,0.6936,0.69971,0.38878,0.90853,0.00055811,0.00055811,0.00055811
27,6519.87,0.67665,0.39222,0.88484,0.88518,0.86609,0.92104,0.70085,0.69418,0.38666,0.90846,0.000547114,0.000547114,0.000547114
28,6770.62,0.66708,0.38765,0.88206,0.91233,0.8552,0.91524,0.70787,0.68748,0.37982,0.90532,0.000536119,0.000536119,0.000536119
29,7021.33,0.66382,0.38548,0.87931,0.902,0.87141,0.91793,0.71069,0.67492,0.37295,0.8989,0.000525123,0.000525123,0.000525123
30,7272.14,0.65398,0.37905,0.8773,0.91627,0.86299,0.92489,0.71226,0.67942,0.37323,0.89995,0.000514128,0.000514128,0.000514128
31,7523.03,0.65462,0.37491,0.87532,0.92104,0.84172,0.91234,0.71139,0.67315,0.37004,0.89973,0.000503132,0.000503132,0.000503132
